id,type,keyword,confidence,settlement,repository,desc
SaffWald,monument,Tomb,high,"Saffron Waldon, Essex",,Tombstone Inscription
GuildChapel,wallPainting,Mural,high,Stratford-on-Avon,"Guild Chapel, Chapel Lane [NB: not Holy Trinity as in IMEV]",Mural Inscription on west wall
DissNorf,monument,Tomb,high,"Diss, Norfolk",,Tombstone Inscription
Barrett,object,fortune,high,"Manchester, UK",Chetham's Library,"MS Barrett, olim fortune cards"
StAndrew,glazing,window,high,"Old [or 'Wold'], Northamptonshire",Church of St Andrew,small window in south aisle
Heydon,glazing,Window,high,"Heydon, Norfolk",Church of Saints Peter and Paul,olim 'Blasphemy Window' in north aisle
BrownTomb,monument,brass,high,"Canterbury, Kent","Church of All Saints, Military Road","brass tomb of Ralph Brown (d. 1522), mounted on north wall"
Bawburgh,object,triptych,high,"olim Bawburgh, Norfolk",,"triptych, formerly owned by Mr Clark of Beauthorp, Norfolk"
BeverleyMinster,wallPainting,painting,high,"Beverley, Yorkshire",Beverley Minster,painting on wall in south transcept
Wensley,wallPainting,painting,high,"Wensley, Yorkshire",Church of the Holy Trinity,painting on north wall of nave
GreatBardfield,graffito,graffit,high,"Great Bardfield, Essex",Church of St. Mary the Virgin,graffito on northwest face of middle pillar on north aisle
Heydon2,glazing,Window,high,"Heydon, Norfolk",Church of Saints Peter and Paul,olim 'Blasphemy Window' in north aisle
BMMLA96727,object,ewer,high,London,British Museum,"item BM MLA 96, 7-27, 1 (Bronze ewer, temp. Richard II), verses inscribed around neck
            of ewer"
StratfordGuild,wallPainting,mural,high,"Stratford-on-Avon, Warwickshire","Guild Chapel, Chapel Lane",mural on west wall
Landwade,graffito,graffit,high,"Landwade, Cambridgeshire",Church of St. Nicholas,graffito
Duxford,graffito,graffit,high,"Duxford, Cambridgeshire",St. John's Church,graffito
Baldock,monument,tomb,high,"olim Baldok, Hertfordshire",Church of St. Mary the Virgin,tomb of William Crane (d. 1483) and his wives Jane and Margaret Crane
Shrow,monument,brass,high,London,"St. Michael's Church, Crooked Lane","brass tomb of John Shrow, stockfishmonger (d. 1487)"
Benson,monument,tomb,high,olim London,"St. Martin's Church, Ludgate Hill",tomb of John and Anne Benson
Midwinter,monument,tomb,high,"Northleach, Gloucestershire",Church of Saints Peter and Paul,"tomb of William and Elizabeth Midwinter (d. 1501 and 1502), brass tomb on floor,
            northeast corner of nave (east end of north aisle), in brass border"
Hannys,monument,tomb,high,"olim Romford, Essex",Church of St Edward the Confessor,tomb of Elizabeth Hannys and Avery Cornburgh
MaldonAllSaints,monument,brass,high,"olim Maldon, Essex",Church of All Saints,brass tomb
Chichele,monument,tomb,high,"Higham Ferrars, Northamptonshire",Church of St. Mary the Virgin,"tomb of William and Beatrice Chichele on floor at west end of south aisle, to right of
            Lady Chapel altar"
Barton,monument,tomb,high,olim London,"St. Michael's Church, Basinghall","tomb of John Barton, Mercer (d. 1460)"
Jannys,object,,low,"Norwich, Norfolk","Norwich City Council, Blackfriar's Hall","portrait of Robert Jannys, Mayor of Norwich, 1517 and 1524"
Lammas,glazing,window,high,"olim Lammas, Norfolk",Church of St. Andrew,"North window, painted glass of Last Judgement, showing Virgin Mary performing seven
            works of mercy"
Combs,glazing,glass,high,"olim Combs, Suffolk",Church of St. Mary,"glass in windows of side chapel, southeast corner of nave, farthest window to east,
            facing south"
Brandeston,glazing,glass,high,"olim Brandeston, Suffolk",Church of All Saints,"painted glass in south window next to porch, depicting corporal works of mercy"
Cawston,architectural,tower,high,"Cawston, Norfolk",Church of St. Agnes,"gallery at north end, in tower"
LondonStreet,glazing,glass,high,"olim Norwich, Norfolk","London Street, private house",painted glass
Thurton,glazing,glass,high,"Thurton, Norfolk",Church of St Ethelbert,"painted glass, scrolls in roundels of left and right panels of the 4th window from the
            east on south wall"
Notingham,monument,brass,high,"Holme-next-the-Sea, Norfolk",Church of St. Mary,brass tomb of Henry Nottingham (d. 1405) on wall on south side of chancel arch
BMMLA96727b,object,ewer,high,London,British Museum,"item BM MLA 96, 7-27, 1 (Bronze ewer, temp. Richard II), verses inscribed around neck
            of ewer"
BMFrank683,object,,low,London,British Museum,Franks bequest (no. 683)
Amys,monument,Brass,high,"Barton Turf, Norfolk",Church of St Michael & All Angels,"Brass tomb of Thomas and Margery Amys (d. 1445), on floor of south chapel, beside
            chancel (south-east corner of church)"
